"id","dtc_code","dtc_description"
"1","P0001","Fuel Volume Regulator Control Circuit/Open"
"2","P0002","Fuel Volume Regulator Control Circuit Range/Performance"
"3","P0003","Fuel Volume Regulator Control Circuit Low"
"4","P0004","Fuel Volume Regulator Control Circuit High"
"5","P0005","Fuel Shutoff Valve A Control Circuit/Open"
"6","P0006","Fuel Shutoff Valve A Control Circuit Low"
"7","P0007","Fuel Shutoff Valve A Control Circuit High"
"8","P0008","Engine Position System Performance"
"9","P0009","Engine Position System Performance"
"10","P0010","A Camshaft Position Actuator Circuit"
"11","P0011","A Camshaft Position - Timing Over-Advanced or System Performance"
"12","P0012","A Camshaft Position - Timing Over-Retarded"
"13","P0013","B Camshaft Position - Actuator Circuit"
"14","P0014","B Camshaft Position - Timing Over-Advanced or System Performance"
"15","P0015","B Camshaft Position - Timing Over-Retarded"
"16","P0016","Crankshaft Position - Camshaft Position Correlation"
"17","P0017","Crankshaft Position - Camshaft Position Correlation"
"18","P0018","Crankshaft Position - Camshaft Position Correlation"
"19","P0019","Crankshaft Position - Camshaft Position Correlation"
"20","P0020","A Camshaft Position Actuator Circuit"
"21","P0021","A Camshaft Position - Timing Over-Advanced or System Performance"
"22","P0022","A Camshaft Position - Timing Over-Retarded"
"23","P0023","B Camshaft Position - Actuator Circuit"
"24","P0024","B Camshaft Position - Timing Over-Advanced or System Performance"
"25","P0025","B Camshaft Position - Timing Over-Retarded"
"26","P0026","Intake Valve Control Solenoid Circuit Range/Performance"
"27","P0027","Exhaust Valve Control Solenoid Circuit Range/Performance"
"28","P0028","Intake Valve Control Solenoid Circuit Range/Performance"
"29","P0029","Exhaust Valve Control Solenoid Circuit Range/Performance"
"30","P0030","HO2S Heater Control Circuit"
"31","P0031","HO2S Heater Control Circuit Low"
"32","P0032","HO2S Heater Control Circuit High"
"33","P0033","Turbo Charger Bypass Valve Control Circuit"
"34","P0034","Turbo Charger Bypass Valve Control Circuit Low"
"35","P0035","Turbo Charger Bypass Valve Control Circuit High"
"36","P0036","HO2S Heater Control Circuit"
"37","P0037","HO2S Heater Control Circuit Low"
"38","P0038","HO2S Heater Control Circuit High"
"39","P0039","Turbo/Super Charger Bypass Valve Control Circuit Range/Performance"
"40","P0040","O2 Sensor Signals Swapped Bank 1 Sensor 1/ Bank 2 Sensor 1"
"41","P0041","O2 Sensor Signals Swapped Bank 1 Sensor 2/ Bank 2 Sensor 2"
"42","P0042","HO2S Heater Control Circuit"
"43","P0043","HO2S Heater Control Circuit Low"
"44","P0044","HO2S Heater Control Circuit High"
"45","P0045","Turbo/Super Charger Boost Control Solenoid Circuit/Open"
"46","P0046","Turbo/Super Charger Boost Control Solenoid Circuit Range/Performance"
"47","P0047","Turbo/Super Charger Boost Control Solenoid Circuit Low"
"48","P0048","Turbo/Super Charger Boost Control Solenoid Circuit High"
"49","P0049","Turbo/Super Charger Turbine Overspeed"
"50","P0050","HO2S Heater Control Circuit"
"51","P0051","HO2S Heater Control Circuit Low"
"52","P0052","HO2S Heater Control Circuit High"
"53","P0053","HO2S Heater Resistance"
"54","P0054","HO2S Heater Resistance"
"55","P0055","HO2S Heater Resistance"
"56","P0056","HO2S Heater Control Circuit"
"57","P0057","HO2S Heater Control Circuit Low"
"58","P0058","HO2S Heater Control Circuit High"
"59","P0059","HO2S Heater Resistance"
"60","P0060","HO2S Heater Resistance"
"61","P0061","HO2S Heater Resistance"
"62","P0062","HO2S Heater Control Circuit"
"63","P0063","HO2S Heater Control Circuit Low"
"64","P0064","HO2S Heater Control Circuit High"
"65","P0065","Air Assisted Injector Control Range/Performance"
"66","P0066","Air Assisted Injector Control Circuit or Circuit Low"
"67","P0067","Air Assisted Injector Control Circuit High"
"68","P0068","MAP/MAF - Throttle Position Correlation"
"69","P0069","Manifold Absolute Pressure - Barometric Pressure Correlation"
"70","P0070","Ambient Air Temperature Sensor Circuit"
"71","P0071","Ambient Air Temperature Sensor Range/Performance"
"72","P0072","Ambient Air Temperature Sensor Circuit Low"
"73","P0073","Ambient Air Temperature Sensor Circuit High"
"74","P0074","Ambient Air Temperature Sensor Circuit Intermittent"
"75","P0075","Intake Valve Control Solenoid Circuit"
"76","P0076","Intake Valve Control Solenoid Circuit Low"
"77","P0077","Intake Valve Control Solenoid Circuit High"
"78","P0078","Exhaust Valve Control Solenoid Circuit"
"79","P0079","Exhaust Valve Control Solenoid Circuit Low"
"80","P0080","Exhaust Valve Control Solenoid Circuit High"
"81","P0081","Intake Valve Control Solenoid Circuit"
"82","P0082","Intake Valve Control Solenoid Circuit Low"
"83","P0083","Intake Valve Control Solenoid Circuit High"
"84","P0084","Exhaust Valve Control Solenoid Circuit"
"85","P0085","Exhaust Valve Control Solenoid Circuit Low"
"86","P0086","Exhaust Valve Control Solenoid Circuit High"
"87","P0087","Fuel Rail/System Pressure - Too Low"
"88","P0088","Fuel Rail/System Pressure - Too High"
"89","P0089","Fuel Pressure Regulator 1 Performance"
"90","P0090","Fuel Pressure Regulator 1 Control Circuit"
"91","P0091","Fuel Pressure Regulator 1 Control Circuit Low"
"92","P0092","Fuel Pressure Regulator 1 Control Circuit High"
"93","P0093","Fuel System Leak Detected - Large Leak"
"94","P0094","Fuel System Leak Detected - Small Leak"
"95","P0095","Intake Air Temperature Sensor 2 Circuit"
"96","P0096","Intake Air Temperature Sensor 2 Circuit Range/Performance"
"97","P0097","Intake Air Temperature Sensor 2 Circuit Low"
"98","P0098","Intake Air Temperature Sensor 2 Circuit High"
"99","P0099","Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic"
"100","P0100","Mass or Volume Air Flow Circuit"
"101","P0101","Mass or Volume Air Flow Circuit Range/Performance"
"102","P0102","Mass or Volume Air Flow Circuit Low Input"
"103","P0103","Mass or Volume Air Flow Circuit High Input"
"104","P0104","Mass or Volume Air Flow Circuit Intermittent"
"105","P0105","Manifold Absolute Pressure/Barometric Pressure Circuit"
"106","P0106","Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance"
"107","P0107","Manifold Absolute Pressure/Barometric Pressure Circuit Low Input"
"108","P0108","Manifold Absolute Pressure/Barometric Pressure Circuit High Input"
"109","P0109","Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent"
"110","P0110","Intake Air Temperature Sensor 1 Circuit"
"111","P0111","Intake Air Temperature Sensor 1 Circuit Range/Performance"
"112","P0112","Intake Air Temperature Sensor 1 Circuit Low"
"113","P0113","Intake Air Temperature Sensor 1 Circuit High"
"114","P0114","Intake Air Temperature Sensor 1 Circuit Intermittent"
"115","P0115","Engine Coolant Temperature Circuit"
"116","P0116","Engine Coolant Temperature Circuit Range/Performance"
"117","P0117","Engine Coolant Temperature Circuit Low"
"118","P0118","Engine Coolant Temperature Circuit High"
"119","P0119","Engine Coolant Temperature Circuit Intermittent"
"120","P0120","Throttle/Pedal Position Sensor/Switch A Circuit"
"121","P0121","Throttle/Pedal Position Sensor/Switch A Circuit Range/Performance"
"122","P0122","Throttle/Pedal Position Sensor/Switch A Circuit Low"
"123","P0123","Throttle/Pedal Position Sensor/Switch A Circuit High"
"124","P0124","Throttle/Pedal Position Sensor/Switch A Circuit Intermittent"
"125","P0125","Insufficient Coolant Temperature for Closed Loop Fuel Control"
"126","P0126","Insufficient Coolant Temperature for Stable Operation"
"127","P0127","Intake Air Temperature Too High"
"128","Coolant","Thermostat (Coolant Temperature Below Thermostat Regulating"
"129","P0128","Temperature)"
"130","P0129","Barometric Pressure Too Low"
"131","P0130","O2 Sensor Circuit"
"132","P0131","O2 Sensor Circuit Low Voltage"
"133","P0132","O2 Sensor Circuit High Voltage"
"134","P0133","O2 Sensor Circuit Slow Response"
"135","P0134","O2 Sensor Circuit No Activity Detected"
"136","P0135","O2 Sensor Heater Circuit"
"137","P0136","O2 Sensor Circuit"
"138","P0137","O2 Sensor Circuit Low Voltage"
"139","P0138","O2 Sensor Circuit High Voltage"
"140","P0139","O2 Sensor Circuit Slow Response"
"141","P0140","O2 Sensor Circuit No Activity Detected"
"142","P0141","O2 Sensor Heater Circuit"
"143","P0142","O2 Sensor Circuit"
"144","P0143","O2 Sensor Circuit Low Voltage"
"145","P0144","O2 Sensor Circuit High Voltage"
"146","P0145","O2 Sensor Circuit Slow Response"
"147","P0146","O2 Sensor Circuit No Activity Detected"
"148","P0147","O2 Sensor Heater Circuit"
"149","P0148","Fuel Delivery Error"
"150","P0149","Fuel Timing Error"
"151","P0150","O2 Sensor Circuit"
"152","P0151","O2 Sensor Circuit Low Voltage"
"153","P0152","O2 Sensor Circuit High Voltage"
"154","P0153","O2 Sensor Circuit Slow Response"
"155","P0154","O2 Sensor Circuit No Activity Detected"
"156","P0155","O2 Sensor Heater Circuit"
"157","P0156","O2 Sensor Circuit"
"158","P0157","O2 Sensor Circuit Low Voltage"
"159","P0158","O2 Sensor Circuit High Voltage"
"160","P0159","O2 Sensor Circuit Slow Response"
"161","P0160","O2 Sensor Circuit No Activity Detected"
"162","P0161","O2 Sensor Heater Circuit"
"163","P0162","O2 Sensor Circuit"
"164","P0163","O2 Sensor Circuit Low Voltage"
"165","P0164","O2 Sensor Circuit High Voltage"
"166","P0165","O2 Sensor Circuit Slow Response"
"167","P0166","O2 Sensor Circuit No Activity Detected"
"168","P0167","O2 Sensor Heater Circuit"
"169","P0168","Fuel Temperature Too High"
"170","P0169","Incorrect Fuel Composition"
"171","P0170","Fuel Trim"
"172","P0171","System Too Lean"
"173","P0172","System Too Rich"
"174","P0173","Fuel Trim"
"175","P0174","System Too Lean"
"176","P0175","System Too Rich"
"177","P0176","Fuel Composition Sensor Circuit"
"178","P0177","Fuel Composition Sensor Circuit Range/Performance"
"179","P0178","Fuel Composition Sensor Circuit Low"
"180","P0179","Fuel Composition Sensor Circuit High"
"181","P0180","Fuel Temperature Sensor A Circuit"
"182","P0181","Fuel Temperature Sensor A Circuit Range/Performance"
"183","P0182","Fuel Temperature Sensor A Circuit Low"
"184","P0183","Fuel Temperature Sensor A Circuit High"
"185","P0184","Fuel Temperature Sensor A Circuit Intermittent"
"186","P0185","Fuel Temperature Sensor B Circuit"
"187","P0186","Fuel Temperature Sensor B Circuit Range/Performance"
"188","P0187","Fuel Temperature Sensor B Circuit Low"
"189","P0188","Fuel Temperature Sensor B Circuit High"
"190","P0189","Fuel Temperature Sensor B Circuit Intermittent"
"191","P0190","Fuel Rail Pressure Sensor Circuit"
"192","P0191","Fuel Rail Pressure Sensor Circuit Range/Performance"
"193","P0192","Fuel Rail Pressure Sensor Circuit Low"
"194","P0193","Fuel Rail Pressure Sensor Circuit High"
"195","P0194","Fuel Rail Pressure Sensor Circuit Intermittent"
"196","P0195","Engine Oil Temperature Sensor"
"197","P0196","Engine Oil Temperature Sensor Range/Performance"
"198","P0197","Engine Oil Temperature Sensor Low"
"199","P0198","Engine Oil Temperature Sensor High"
"200","P0199","Engine Oil Temperature Sensor Intermittent"
"201","P0200","Injector Circuit/Open"
"202","P0201","Injector Circuit/Open - Cylinder 1"
"203","P0202","Injector Circuit/Open - Cylinder 2"
"204","P0203","Injector Circuit/Open - Cylinder 3"
"205","P0204","Injector Circuit/Open - Cylinder 4"
"206","P0205","Injector Circuit/Open - Cylinder 5"
"207","P0206","Injector Circuit/Open - Cylinder 6"
"208","P0207","Injector Circuit/Open - Cylinder 7"
"209","P0208","Injector Circuit/Open - Cylinder 8"
"210","P0209","Injector Circuit/Open - Cylinder 9"
"211","P0210","Injector Circuit/Open - Cylinder 10"
"212","P0211","Injector Circuit/Open - Cylinder 11"
"213","P0212","Injector Circuit/Open - Cylinder 12"
"214","P0213","Cold Start Injector 1"
"215","P0214","Cold Start Injector 2"
"216","P0215","Engine Shutoff Solenoid"
"217","P0216","Injector/Injection Timing Control Circuit"
"218","P0217","Engine Coolant Over Temperature Condition"
"219","P0218","Transmission Fluid Over Temperature Condition"
"220","P0219","Engine Overspeed Condition"
"221","P0220","Throttle/Pedal Position Sensor/Switch B Circuit"
"222","P0221","Throttle/Pedal Position Sensor/Switch B Circuit Range/Performance"
"223","P0222","Throttle/Pedal Position Sensor/Switch B Circuit Low"
"224","P0223","Throttle/Pedal Position Sensor/Switch B Circuit High"
"225","P0224","Throttle/Pedal Position Sensor/Switch B Circuit Intermittent"
"226","P0225","Throttle/Pedal Position Sensor/Switch C Circuit"
"227","P0226","Throttle/Pedal Position Sensor/Switch C Circuit Range/Performance"
