"id","pattern_id","dtc_code"
"1","1","C0031"
"2","1","C0034"
"3","1","C0051"
"4","2","C1001"
"5","2","U3000"
"6","3","P0300"
"7","3","P0301"
"8","3","P0302"
"9","3","P0303"
"10","3","P0304"
"11","3","P0316"
"12","3","P0217"
"13","3","P1285"
"14","3","P1299"
"15","4","P21DD"
"16","4","P204C"
"17","4","P21CD"
"18","4","U02A2"
"19","5","C00A6"
"20","5","C0631"
"21","6","P1140"
"22","6","P2266"
"23","6","P2269"
"24","7","U012D"
"25","7","U0284"
"26","7","U042E"
"27","7","P0036"
"28","7","P0138"
"29","8","U029D"
"30","8","P2209"
"31","9","P00BD"
"32","9","P1247"
"33","9","P1548"
"34","9","P061B"
"35","9","P2195"
"36","9","P2198"
"37","9","P2196"
"38","9","P2197"
"39","9","P0171"
"40","9","P0172"
"41","9","P0174"
"42","9","P0175"
"43","9","P0131"
"44","9","P162F"
"45","10","C0044"
"46","10","P0706"
"47","10","P0AA6"
"48","10","P0CF7"
"49","10","P1712"
"50","10","P2801"
"51","10","U019B"
"52","10","U0401"
"53","10","P061B"
"54","10","U016A"
"55","10","U0198"
"56","11","C0020"
"57","11","U3003"
"58","12","P0300"
"59","12","P0301"
"60","12","P0302"
"61","12","P0303"
"62","12","P0304"
"63","12","P0305"
"64","12","P0306"
"65","13","P0016"
"66","13","P0017"
"67","13","P0018"
"68","13","P0019"
"69","13","P0008"
"70","13","P0009"
"71","14","P0441"
"72","14","P0442"
"73","14","P0455"
"74","14","P0456"
"75","15","P0442"
"76","15","P0446"
"77","15","P0455"
"78","15","P0449"
"79","16","P0171"
"80","16","P0174"
"81","17","P0420"
"82","17","P0430"
"83","18","P0299"
"84","18","P100D"
"85","19","U0100"
"86","19","U0101"
"87","19","U0102"
"88","19","U0109"
"89","19","U0121"
"90","19","U0140"
"91","20","P229F"
"92","20","P20EE"
"93","20","P2BAE"
